,ID,group,Shannon,Richness,Pielou_evenness
1,1,model_1,1.67711811060975,7,0.861868217000637
2,2,model_1,1.37377735875945,7,0.705981907451577
3,3,model_1,1.64135171053331,6,0.916055831556706
4,4,model_1,1.62084432010878,7,0.832949209343329
5,5,model_1,1.52631735235234,6,0.851853933837405
6,6,model_1,1.50506882784337,7,0.77345237578109
7,7,model_1,1.62261969745907,7,0.833861572820724
8,8,model_1,1.54307101717142,7,0.792981637883198
9,9,model_1,1.69174406463298,7,0.869384470528752
10,10,model_1,1.40726271540574,7,0.723189976725763
11,11,model_1,1.75143763171865,7,0.900060895704214
12,12,model_1,1.62196115533957,7,0.833523149117129
13,13,model_1,1.71023790296558,7,0.878888423391931
14,14,model_1,1.67085425031579,7,0.858649229578735
15,15,model_1,1.6523209842945,7,0.849125014891698
16,16,model_1,1.80651020252009,7,0.928362598549118
17,17,model_1,1.64776522677972,7,0.846783818656613
18,18,model_1,1.66741476830109,7,0.85688168547277
19,19,model_2,1.62486911295511,7,0.835017543715436
20,20,model_2,1.59924134014655,7,0.821847473750489
21,21,model_2,1.43713925832943,7,0.738543482609987
22,22,model_2,1.56188920226029,7,0.802652272006776
23,23,model_2,1.72464531482747,7,0.886292368465594
24,24,model_2,1.75150099438874,7,0.900093457675343
25,25,model_2,1.6335323624678,7,0.839469573279543
26,26,model_2,1.61092083348406,7,0.827849546016357
27,27,model_2,1.3210089180212,7,0.678864293226753
28,28,model_2,1.54588241603972,7,0.794426411101358
29,29,model_2,1.61662045915756,7,0.830778574202097
30,30,model_2,1.60640399207237,7,0.825528348702143
31,31,model_2,1.477023447737,7,0.759039901433296
32,32,model_2,1.60150214912279,7,0.823009299735795
33,33,model_2,1.56899198183863,7,0.806302378658304
34,34,model_2,1.58004879095099,7,0.811984454533043
35,35,model_2,1.3539363238009,7,0.695785632475478
36,36,model_2,1.5549730685432,7,0.799098082353956
37,37,model_3,1.36709198073708,5,0.849422006388244
38,38,model_3,1.0609771168447,6,0.592142603438731
39,39,model_3,0.856810159019362,6,0.47819485468577
40,40,model_3,1.27777024192768,6,0.713137150310795
41,41,model_3,0.903488520234648,6,0.504246544110019
42,42,model_3,1.5355932411374,6,0.857030905939055
43,43,model_3,1.65294647182428,6,0.922526991045522
44,44,model_3,1.40757174195951,6,0.785580746820855
45,45,model_3,1.42660791714654,6,0.796205038481627
46,46,model_3,1.44061224702132,6,0.804021003802472
47,47,model_3,1.47950402783081,6,0.82572691995775
48,48,model_3,1.56328311305789,6,0.872484917705721
49,49,model_3,1.12726244449921,6,0.629137149187143
50,50,model_3,1.25512647866695,6,0.700499425409872
51,51,model_3,1.51169492009754,6,0.843692999009974
52,52,model_3,0.963797702256993,5,0.598841182260553
53,53,model_3,1.18159178252753,5,0.73416425287292
54,54,model_3,1.43530947078845,5,0.89180791610513
