,num,err.mean,err.1,err.2,err.3,err.4,err.5
600,600,0.0166666666666667,0,0,0.0833333333333333,0,0
540,540,0.0333333333333333,0.0833333333333333,0,0,0,0.0833333333333333
486,486,0.0166666666666667,0.0833333333333333,0,0,0,0
437,437,0.0166666666666667,0,0,0,0,0.0833333333333333
394,394,0.0166666666666667,0,0,0,0,0.0833333333333333
354,354,0,0,0,0,0,0
319,319,0.0166666666666667,0,0,0,0,0.0833333333333333
287,287,0,0,0,0,0,0
258,258,0.0166666666666667,0.0833333333333333,0,0,0,0
232,232,0,0,0,0,0,0
209,209,0,0,0,0,0,0
188,188,0,0,0,0,0,0
169,169,0,0,0,0,0,0
153,153,0,0,0,0,0,0
137,137,0,0,0,0,0,0
124,124,0,0,0,0,0,0
111,111,0,0,0,0,0,0
100,100,0,0,0,0,0,0
90,90,0,0,0,0,0,0
81,81,0,0,0,0,0,0
73,73,0,0,0,0,0,0
66,66,0.0166666666666667,0,0.0833333333333333,0,0,0
59,59,0,0,0,0,0,0
53,53,0,0,0,0,0,0
48,48,0,0,0,0,0,0
43,43,0,0,0,0,0,0
39,39,0,0,0,0,0,0
35,35,0,0,0,0,0,0
31,31,0,0,0,0,0,0
28,28,0,0,0,0,0,0
25,25,0.0166666666666667,0.0833333333333333,0,0,0,0
23,23,0,0,0,0,0,0
21,21,0.0166666666666667,0,0,0,0,0.0833333333333333
19,19,0.0166666666666667,0,0,0,0,0.0833333333333333
17,17,0.0166666666666667,0,0,0,0,0.0833333333333333
15,15,0.0166666666666667,0,0,0,0,0.0833333333333333
14,14,0.0166666666666667,0,0,0,0.0833333333333333,0
12,12,0.0166666666666667,0,0,0,0,0.0833333333333333
11,11,0.05,0,0.0833333333333333,0,0,0.166666666666667
10,10,0.0333333333333333,0,0.0833333333333333,0,0,0.0833333333333333
9,9,0.0333333333333333,0,0.0833333333333333,0,0,0.0833333333333333
8,8,0.0333333333333333,0,0,0,0.0833333333333333,0.0833333333333333
7,7,0.05,0,0,0,0.166666666666667,0.0833333333333333
6,6,0.1,0.166666666666667,0.0833333333333333,0,0.166666666666667,0.0833333333333333
5,5,0.1,0.166666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333
4,4,0.133333333333333,0.25,0.166666666666667,0,0.0833333333333333,0.166666666666667
3,3,0.0833333333333333,0.0833333333333333,0.166666666666667,0,0.0833333333333333,0.0833333333333333
2,2,0.15,0.25,0.166666666666667,0,0.166666666666667,0.166666666666667
1,1,0.166666666666667,0.25,0.25,0,0.0833333333333333,0.25
