"","Proteobacteria","Actinobacteria","Bacteroidetes","Firmicutes","Unassigned","Chloroflexi","Acidobacteria","Verrucomicrobia","Planctomycetes","Spirochaetes","Nitrospirae","Chlamydiae","Candidatus_Saccharibacteria","Armatimonadetes","Ignavibacteriae","Thaumarchaeota"
"KO1",0.655332209918151,0.25556692344728,0.0307534906114588,0.0162193066923447,0.0190178141550313,0.0141730861819933,0.0037915262397689,0.00198603755416466,0.000571738083774675,0.000692103996148291,0.000872652864708714,0.000361097737120847,0.000391189215214251,0.000120365912373616,0.000120365912373616,3.00914780934039e-05
"KO2",0.496831326968313,0.405424104054241,0.0266500622665006,0.0199806281998063,0.0224712882247129,0.0181818181818182,0.00348692403486924,0.00204787602047876,0.00251833402518334,0.00044278400442784,0.00080254600802546,0.00019371800193718,0.0005534800055348,0.0001383700013837,0.00019371800193718,8.302200083022e-05
"KO3",0.610561988138944,0.279427999281148,0.0750173294652255,0.014916176734872,0.00634130060845678,0.0056737952812508,0.00246463505429899,0.00146337706349003,0.00169443659983056,0.00115529768170265,0.000308079381787374,0.00051346563631229,0.000308079381787374,0.000128366409078072,2.56732818156145e-05,0
"KO4",0.618773946360153,0.281792893507584,0.0314123760037789,0.0321209258384506,0.0134624468587624,0.0166377998215504,0.00217813467695376,0.000997218285834252,0.000682307248202383,0.000918490526426285,0.000498609142917126,0.000209940691754579,0.00010497034587729,0.00010497034587729,0.00010497034587729,0
"KO5",0.736200256739409,0.171553273427471,0.05201540436457,0.00785622593068036,0.0110911424903723,0.0145314505776637,0.00192554557124519,0.0010012836970475,0.000693196405648267,0.00143774069319641,0.000410783055198973,0.000102695763799743,0.0010783055198973,0.000102695763799743,0,0
"KO6",0.680993882964326,0.23602013749797,0.023926812104152,0.0162669842472798,0.0237102798679153,0.0100958155145347,0.0038163806636713,0.00194879012613003,0.000784929356357928,0.000676663238239593,0.000676663238239593,0.000378931413414172,0.000189465706707086,0.000135332647647919,0.000378931413414172,0
"OE1",0.566051114468046,0.282979313746647,0.0406326109072972,0.0509603230878318,0.0223510188981718,0.0123315966334741,0.0100502512562814,0.00564170545981441,0.00487098067022228,0.00129481764651478,0.00129481764651478,0.000678237814841076,0.000277460924253168,0.000431605882171594,6.16579831673706e-05,9.24869747510559e-05
"OE2",0.474297939014101,0.348830902735929,0.0808123418102929,0.0270881041340243,0.0217849825238038,0.0258527178498252,0.00527299023743522,0.00322405688803182,0.00876822948053513,0.00111486079305773,0.000632758828492226,0.000632758828492226,0.000994335301916355,0.00051223333735085,9.03941183560323e-05,9.03941183560323e-05
"OE3",0.509788634788635,0.328626703626704,0.0895703395703396,0.0245148995148995,0.0158523908523909,0.0123585123585124,0.00672788172788173,0.00418687918687919,0.00441787941787942,0.00153037653037653,0.000981750981750982,0.000664125664125664,0.00025987525987526,0.000433125433125433,5.77500577500577e-05,2.88750288750289e-05
"OE4",0.565600145710643,0.274269928966062,0.0767712950033392,0.0324813308238723,0.0202780644769595,0.0162406654119361,0.00355169692186267,0.00318742031449214,0.00218565964422318,0.002064234108433,0.000819622366583693,0.000880335134478781,0.00036427660737053,0.00036427660737053,0.000941047902373869,0
"OE5",0.588653759567762,0.2994747110911,0.0392615938766321,0.0180999549752364,0.0173195257391565,0.0185502026114363,0.00708389614287858,0.00459252588923908,0.00324178298063935,0.00156085847215969,0.00117064385411977,0.000240132072639952,0.00045024763619991,0.000210115563559958,6.0033018159988e-05,3.0016509079994e-05
"OE6",0.56198321320478,0.290648694187026,0.0346032637523792,0.0488938812443446,0.0196261973852538,0.0164123685606415,0.0107647664513713,0.0073013198539736,0.0061780398764392,0.00127929108552529,0.00102967331273987,0.000436831102374489,0.000218415551187245,0.000312022215981778,0.000124808886392711,0.000187213329589067
"WT1",0.511591219016551,0.348618947030669,0.0549212545789994,0.00903767480413915,0.0190379421909677,0.0427551538811198,0.00518730447338164,0.00336907403941282,0.00254017487098586,0.00117650204550924,0.000721944437017033,0.000267386828524827,0.00029412551137731,0.000374341559934758,2.67386828524827e-05,8.02160485574481e-05
"WT2",0.603667908406492,0.294995701669836,0.0628077213640034,0.00450673405059004,0.0130773438924636,0.00903951858702165,0.00328236121603668,0.00341261364524448,0.00179748352306771,0.00205798838148331,0.000599161174355902,0.000416807773464975,2.60504858415609e-05,0.00028655534425717,2.60504858415609e-05,0
"WT3",0.558636152352829,0.318103518989418,0.0511032729062423,0.011046400349985,0.019003089710989,0.017307850053318,0.0103628359718918,0.00538648729937386,0.00349984961583682,0.00221474858502174,0.000792934678588029,0.00133978618106253,0.000574194077598228,0.000382796051732152,0.000191398025866076,5.46851502474503e-05
"WT4",0.558562218971775,0.33875074489409,0.0440164689311447,0.0104556043122596,0.0176336746302617,0.014004008884555,0.00517362804052224,0.00322335987864998,0.00219405168210629,0.00205861639308738,0.00284414106939704,0.000433392924860502,0.000135435289018907,0.000352131751449158,8.12611734113441e-05,8.12611734113441e-05
"WT5",0.570483406253335,0.334302635791271,0.0475936399530466,0.00616262938853911,0.0130989222068082,0.0201686052715825,0.00224095614128695,0.00226763419058798,0.00149397076085797,0.000693629281826913,0.000827019528332088,8.00341479031053e-05,0.00010671219720414,0.000373492690214492,5.33560986020702e-05,5.33560986020702e-05
"WT6",0.570598989138617,0.31073233681041,0.0611356059791375,0.0116948058931068,0.0134691902355092,0.018926766318959,0.00395203785353264,0.0027691149585977,0.00185503817614797,0.00169373050865684,0.00107538444994085,0.00099473061619529,0.000483923002473384,0.000322615334982256,0.000215076889988171,8.0653833745564e-05
