"","Unassigned","Sphingobacteriales","Rhizobiales","Burkholderiales","Sphingomonadales","Rhodospirillales","Planctomycetales","Gemmatimonadales","Xanthomonadales","Myxococcales","Actinomycetales","Bacillales","Gaiellales","Nitrososphaerales","Desulfuromonadales","Legionellales","Cytophagales","Pseudomonadales","Alphaproteobacteria_incertae_sedis","Nitrospirales"
"sample1",0.504513460051611,0.0539606992599733,0.0594180197005754,0.0467361508570052,0.0389543231818136,0.041334056290227,0.0327087789057244,0.0246257191914932,0.0274171360865942,0.0207548874898334,0.0145495074856162,0.0217087889467924,0.010146499181653,0.00947374762779769,0.00264582140956512,0.0101967045214929,0.00820857306383107,0.00343906577903626,0.00935325481218182,0.00637607815967306
"sample10",0.454181878221945,0.0775101359408538,0.0640995065035132,0.0432650265705358,0.058008769194078,0.031646150177035,0.0380793385801733,0.0286497031071322,0.0293590660869459,0.0175689641465935,0.0154347600090505,0.0176851529105285,0.0159178606590961,0.0146458994539128,0.00109462046022981,0.0073504681184147,0.00957028502938353,0.00843285818244082,0.00865300531410715,0.00756450005197918
"sample11",0.443218467282119,0.0524474878249379,0.0758134420078918,0.04396421871679,0.0615452856865626,0.0276306913217451,0.0457893229094471,0.0303290732167115,0.0276953785589532,0.0146054540582,0.0154694907266225,0.0207830852115735,0.00949978283570366,0.00276768964911794,0.0016726271335237,0.00690305231349283,0.0122813340356519,0.035892175616608,0.00846940755731751,0.00602515409424006
"sample12",0.418992251858672,0.0601778840031737,0.0587820431192391,0.062592443848015,0.0579935154619988,0.0317517068440282,0.0365269519732782,0.0217065501670111,0.0251153405361988,0.0183663274201922,0.0220493882788547,0.0313696872336882,0.014908560177884,0.0113528391893348,0.00347246030424434,0.00830157999392687,0.0121707529704474,0.0151534445434866,0.00867380422964276,0.00641597037878714
"sample13",0.493520911182392,0.0573362748664264,0.0650223685640185,0.0390068074130413,0.0407405482778332,0.0352086394149687,0.0308341324918155,0.0204553077508137,0.0291476325225221,0.0208474071834506,0.0189341509157648,0.0147297112164058,0.0106622701139923,0.0101426202635097,0.0169736537525805,0.0100245180247637,0.00913638918939347,0.00581535423585489,0.00646255450418318,0.0052012225943755
"sample14",0.503316421157195,0.054741382020282,0.0562314138956475,0.0335414348315384,0.0325355061393085,0.0308442885254972,0.0327555530407338,0.0284300596641456,0.0246389659053044,0.0227277013900677,0.0123289135341418,0.00741243705086856,0.00947459086993971,0.0233689809313642,0.0382001420874278,0.00726783480136052,0.00624304494615138,0.00225705250319068,0.00684660216148928,0.00572750649138359
"sample15",0.526966316758344,0.0476430496811378,0.0636792969691657,0.0404549538690802,0.0356555850189564,0.0368061186474107,0.038027875786198,0.0195700291468519,0.0255692402095067,0.0187043895597291,0.0216081172886853,0.0137297012995551,0.0120696456356424,0.0110286866384695,0.00513357147553198,0.0082235760776665,0.00596633867327036,0.00598277486796257,0.00744011746400473,0.00385154828954001
"sample16",0.501148171172657,0.0674058943682521,0.0542748759848264,0.0479377323302166,0.0374709785463265,0.0318062445287423,0.0294210933634438,0.0112025982923333,0.0256720924626686,0.0196711536265716,0.0148564468859822,0.00987680947970718,0.0106824323467096,0.0125093566435341,0.0287740576749851,0.00585503863183669,0.00600728232323873,0.00399639689930349,0.00755509318582611,0.00537293360906357
"sample17",0.522727609928832,0.0710537638662901,0.0579429176207597,0.0377548850389962,0.0366668480061721,0.0304897650334571,0.0279773886122088,0.0297973778307509,0.0275174456846968,0.0204006943654519,0.0131009549997774,0.00879331747436931,0.010880370328241,0.0118546580349062,0.0137389403508425,0.00588529122300308,0.00622653920147973,0.00253710453563074,0.00632050603613272,0.00649360283680928
"sample18",0.500171190535066,0.0596503908850551,0.0675156449127879,0.0365349133585681,0.0387318585585757,0.0353128031499058,0.0291023909611397,0.0280086736537767,0.0234245715481331,0.021888612025184,0.012506419645065,0.0105852814182185,0.00903505601734731,0.0123447396952808,0.0224592471420691,0.0100574439350998,0.00881631255587469,0.00432731630304529,0.00748958590911685,0.00711391779050083
"sample2",0.54398498178569,0.0470865695236786,0.0437401195958485,0.0410251563681353,0.0331294247027287,0.0425845418929136,0.0298173413980342,0.0376830022681971,0.0179393772767888,0.0271539281050244,0.00880644717850024,0.01006082892295,0.0075649529177263,0.0126512131417967,0.00829953948724998,0.00831672279881779,0.00602275070451577,0.00201044745343323,0.00957110454326758,0.00480703141109355
"sample3",0.497463459395687,0.0385593498066461,0.0695615127482467,0.0455528609818444,0.0351117519826965,0.0568525922527365,0.0212230451595989,0.0341154879727338,0.0243232614537589,0.0247034148259815,0.018817591925018,0.0168316182735793,0.01428852330078,0.00892704987874418,0.00473880841580914,0.0100937274693583,0.00703283738611785,0.0112210788490529,0.00545323458084814,0.00806187323851347
"sample4",0.54087404741274,0.0430980470572552,0.0562243106934169,0.0221066897731565,0.0271634561976494,0.0554866804416894,0.0289231042680353,0.0323890777400076,0.0224310693416872,0.0239685396254083,0.0190761847630474,0.0090159745828612,0.0127352307316315,0.0154369126174765,0.00407918416316737,0.00715856828634273,0.00890488568952876,0.00719411673220911,0.0060254615743518,0.00754515763513964
"sample5",0.531404162355856,0.042631511174065,0.0644068398687441,0.0270903915918103,0.0279518136486553,0.0509881931894374,0.0307403345336998,0.029852270557571,0.0226145491521209,0.0245150060610366,0.0139603657047454,0.00900496871794644,0.00952892646386246,0.0167622075494319,0.00339240438881217,0.0103015421230945,0.00825899497799822,0.0122375215910554,0.00706898924998557,0.00625641071182768
"sample6",0.540131151504163,0.0418234289772298,0.0643254310019189,0.0351789734523971,0.0331505069277609,0.0443807322121995,0.037135669280631,0.021448106009096,0.0179728933411903,0.0231781575329012,0.0163826058051161,0.00872202831542843,0.0169492165661877,0.0121216928818579,0.000774368040131152,0.00935285496275479,0.0105880664218908,0.00132964658598129,0.00705997008295182,0.00929619388664763
"sample7",0.450837197837788,0.0502433348046156,0.0383947354844627,0.0730577640712865,0.0610486612286545,0.0384176645591026,0.0219259276243759,0.0261907355073918,0.0227800356547111,0.0238634344314449,0.0238634344314449,0.0221609506394346,0.0286670755684977,0.0108110586926988,0.00745194925795782,0.00531954531644989,0.00576093000326739,0.00791053075075523,0.00932640110976721,0.00893087457222945
"sample8",0.44096481996204,0.0909679682651051,0.0383958046612876,0.0594624497395904,0.0481645393133101,0.0305430373028937,0.0316539385271339,0.0195824450621115,0.022002140846084,0.0167714601829614,0.0204414820411798,0.0253123566397712,0.0245207832978025,0.0177924098910687,0.0040927939840426,0.00924701585845229,0.00840147160680393,0.00688578855996618,0.00775831826645438,0.00952586555846399
"sample9",0.441900315803927,0.124366332555266,0.0501936015378278,0.0632486612659618,0.0318714815323356,0.0269504325140739,0.0216888644789235,0.0218261705341206,0.0148235617190718,0.0231552931484278,0.017871756144446,0.0201180832074694,0.0248469037484553,0.0165591102567623,0.00182342441301661,0.00896333928326239,0.00833173142935604,0.0089303858300151,0.00858986681312646,0.0142303995606206
