"","%IncMSE","%IncMSE.pval","rownames(frimp.scaled1)","lab"
"ME32",1.796,1,"ME32",""
"ME10",1.771,1,"ME10",""
"ME20",1.736,1,"ME20",""
"ME33",1.733,1,"ME33",""
"ME24",1.711,1,"ME24",""
"ME13",1.678,1,"ME13",""
"ME48",1.651,1,"ME48",""
"ME51",1.631,1,"ME51",""
"ME31",1.555,1,"ME31",""
"ME2",1.481,1,"ME2",""
"ME30",1.471,1,"ME30",""
"ME47",1.417,1,"ME47",""
"ME38",1.417,1,"ME38",""
"ME42",1.416,1,"ME42",""
"ME46",1.407,1,"ME46",""
"ME22",1.362,1,"ME22",""
"ME41",1.307,1,"ME41",""
"ME44",1.267,1,"ME44",""
"ME21",1.259,1,"ME21",""
"ME3",1.254,1,"ME3",""
"ME28",1.186,1,"ME28",""
"ME34",1.026,1,"ME34",""
"ME18",1.001,1,"ME18",""
"ME29",1.001,1,"ME29",""
"ME52",1.001,1,"ME52",""
"ME8",1.001,1,"ME8",""
"ME25",1.001,1,"ME25",""
"ME19",0.954,1,"ME19",""
"ME49",0.917,1,"ME49",""
"ME14",0.87,1,"ME14",""
"ME43",0.855,1,"ME43",""
"ME6",0.546,1,"ME6",""
"ME50",0.545,1,"ME50",""
"ME4",0.501,1,"ME4",""
"ME15",0.444,1,"ME15",""
"ME36",0.215,1,"ME36",""
"ME11",0.133,1,"ME11",""
"ME12",0,1,"ME12",""
"ME16",0,1,"ME16",""
"ME17",0,1,"ME17",""
"ME39",0,1,"ME39",""
"ME37",-0.3,1,"ME37",""
"ME26",-1.001,1,"ME26",""
"ME27",-1.001,1,"ME27",""
"ME35",-1.001,1,"ME35",""
"ME1",0,1,"ME1",""
"ME5",0,1,"ME5",""
"ME7",0,1,"ME7",""
"ME9",0,1,"ME9",""
"ME23",0,1,"ME23",""
"ME40",0,1,"ME40",""
"ME45",0,1,"ME45",""
